Normalized_Nitrogen,Normalized_phosphorus,Normalized_potassium,Normalized_temperature,Normalized_humidity,Normalized_pH,Normalized_rainfall,label
0.592857143,0.282758621,0.209756098,0.482021736,0.826933792,0.629488794,0.780772721,rice
0.7,0.324137931,0.180487805,0.537688608,0.813473909,0.742366915,0.750462357,rice
0.471428571,0.365517241,0.2,0.574135182,0.805384851,0.78297372,0.860811229,rice
0.692857143,0.406896552,0.209756098,0.603525492,0.840592674,0.632757181,0.908891087,rice
0.692857143,0.344827586,0.2,0.561624536,0.805595832,0.711715675,0.871728682,rice
0.428571429,0.337931034,0.214634146,0.47568468,0.845130577,0.628564096,0.804129771,rice
0.6,0.351724138,0.170731707,0.510619898,0.8065878,0.608278767,0.663113127,rice
0.521428571,0.393103448,0.2,0.491042907,0.849591542,0.586276373,0.911714996,rice
0.657142857,0.24137931,0.195121951,0.507820722,0.803458309,0.639892414,0.670177558,rice
0.607142857,0.255172414,0.190243902,0.561592724,0.827518503,0.640571382,0.752530975,rice
0.7,0.365517241,0.185365854,0.464037749,0.816537478,0.504726859,0.905820059,rice
0.628571429,0.372413793,0.214634146,0.589241913,0.838978646,0.61895866,0.780854968,rice
0.678571429,0.379310345,0.204878049,0.613509757,0.821629752,0.598953805,0.647599591,rice
0.707142857,0.393103448,0.170731707,0.612644339,0.811920521,0.599931099,0.912043859,rice
0.678571429,0.268965517,0.175609756,0.546377492,0.83167578,0.559773297,0.955416898,rice
0.428571429,0.296551724,0.214634146,0.481264136,0.829672509,0.746469771,0.999469946,rice
0.45,0.303448276,0.2,0.553468052,0.837439318,0.561984791,0.860913281,rice
0.442857143,0.289655172,0.175609756,0.521604638,0.820820646,0.647201945,0.833059484,rice
0.457142857,0.310344828,0.209756098,0.586823435,0.835435612,0.557103921,0.703041691,rice
0.592857143,0.413793103,0.175609756,0.586073548,0.801596175,0.694909185,0.672678292,rice
0.585714286,0.275862069,0.195121951,0.545630397,0.848289723,0.631245233,1.000000059,rice
0.607142857,0.35862069,0.219512195,0.602478758,0.823819175,0.727148398,0.889387409,rice
0.65,0.24137931,0.185365854,0.570051585,0.805404548,0.617436439,0.61521724,rice
0.542857143,0.337931034,0.204878049,0.571459622,0.844949442,0.524038799,0.659686277,rice
0.528571429,0.268965517,0.185365854,0.53213221,0.846073493,0.783289384,0.780564267,rice
0.564285714,0.296551724,0.190243902,0.496074182,0.807242327,0.710892232,0.706103088,rice
0.628571429,0.379310345,0.219512195,0.564056604,0.804282038,0.778087269,0.84981308,rice
0.428571429,0.248275862,0.209756098,0.53648439,0.830781551,0.53207401,0.736551317,rice
0.542857143,0.413793103,0.190243902,0.458962549,0.803623179,0.681044597,0.69862321,rice
0.664285714,0.386206897,0.204878049,0.546238641,0.822406319,0.743099646,0.653452458,rice
0.464285714,0.413793103,0.209756098,0.503073783,0.819140248,0.569513604,0.761534113,rice
0.678571429,0.35862069,0.175609756,0.600546645,0.838514521,0.557957671,0.959633831,rice
0.535714286,0.262068966,0.190243902,0.536840411,0.848088915,0.625571494,0.95101069,rice
0.528571429,0.372413793,0.185365854,0.587412634,0.834853384,0.71667919,0.728090787,rice
0.65,0.248275862,0.219512195,0.559660688,0.824692694,0.598952498,0.897561981,rice
0.507142857,0.317241379,0.195121951,0.464338092,0.821384256,0.728398505,0.642931101,rice
0.707142857,0.379310345,0.170731707,0.497391816,0.802535314,0.65441754,0.931010605,rice
0.514285714,0.275862069,0.185365854,0.467412507,0.822229251,0.764209469,0.821111496,rice
0.592857143,0.4,0.219512195,0.589696558,0.835334075,0.591373119,0.822824885,rice
0.664285714,0.4,0.185365854,0.472008768,0.837886381,0.697769172,0.936311221,rice
0.5,0.248275862,0.204878049,0.500076101,0.807434946,0.69915916,0.677866305,rice
0.542857143,0.324137931,0.204878049,0.459839064,0.833062422,0.577667082,0.88302897,rice
0.707142857,0.282758621,0.175609756,0.559994195,0.827633528,0.678267786,0.611473643,rice
0.707142857,0.372413793,0.180487805,0.484103898,0.803495886,0.56313723,0.665437526,rice
0.614285714,0.406896552,0.170731707,0.590427392,0.821261216,0.699202088,0.815621516,rice
0.492857143,0.317241379,0.2,0.541293256,0.803005292,0.504488552,0.881264209,rice
0.65,0.386206897,0.180487805,0.536500365,0.805834802,0.640504673,0.902678945,rice
0.435714286,0.35862069,0.2,0.571869833,0.83907009,0.692538319,0.68595966,rice
0.478571429,0.310344828,0.185365854,0.520381349,0.821855801,0.734810666,0.873819059,rice
0.564285714,0.289655172,0.180487805,0.569495784,0.828552389,0.66309596,0.990117063,rice
0.557142857,0.296551724,0.204878049,0.488231804,0.830182475,0.73313235,0.644157587,rice
0.535714286,0.372413793,0.175609756,0.602046013,0.8458452,0.706982593,0.862444414,rice
0.692857143,0.248275862,0.219512195,0.508951318,0.81873565,0.698441867,0.931401012,rice
0.478571429,0.324137931,0.214634146,0.612030315,0.818007901,0.791988181,0.939189259,rice
0.521428571,0.24137931,0.185365854,0.5698668,0.819941285,0.503800818,0.622809756,rice
0.55,0.248275862,0.180487805,0.615550021,0.814751006,0.61762211,0.651716877,rice
0.578571429,0.282758621,0.185365854,0.519249152,0.837439183,0.75732372,0.672940944,rice
0.485714286,0.393103448,0.209756098,0.597329961,0.803943666,0.574422846,0.612621547,rice
0.514285714,0.310344828,0.170731707,0.582243615,0.829618586,0.579612841,0.65433209,rice
0.435714286,0.365517241,0.209756098,0.604532024,0.810710452,0.639109025,0.748148156,rice
0.478571429,0.296551724,0.190243902,0.596300572,0.849844707,0.603916867,0.625514519,rice
0.478571429,0.4,0.190243902,0.578876672,0.805583253,0.548922202,0.737257493,rice
0.471428571,0.413793103,0.185365854,0.505678714,0.834855108,0.641421032,0.776180393,rice
0.585714286,0.296551724,0.185365854,0.533163377,0.814479748,0.513894473,0.811619044,rice
0.6,0.344827586,0.214634146,0.583529111,0.81421089,0.597412183,0.611786155,rice
0.578571429,0.365517241,0.204878049,0.542083304,0.810503798,0.521165135,0.782768687,rice
0.65,0.344827586,0.195121951,0.476806811,0.841494358,0.65046124,0.77111517,rice
0.664285714,0.365517241,0.185365854,0.616591841,0.819289571,0.71153573,0.973604237,rice
0.642857143,0.303448276,0.185365854,0.5457316,0.838990733,0.752195866,0.807882069,rice
0.578571429,0.310344828,0.170731707,0.607405393,0.801371956,0.619861153,0.733240499,rice
0.557142857,0.275862069,0.185365854,0.60592985,0.838716243,0.759919932,0.831409318,rice
0.428571429,0.351724138,0.175609756,0.519663957,0.828258967,0.606770643,0.860786408,rice
0.628571429,0.317241379,0.204878049,0.519357438,0.834787091,0.664814593,0.650673589,rice
0.664285714,0.324137931,0.180487805,0.493033128,0.821549275,0.654281196,0.991173568,rice
0.428571429,0.379310345,0.219512195,0.490175558,0.833444211,0.597452546,0.963212075,rice
0.557142857,0.24137931,0.214634146,0.607743172,0.846888816,0.711886345,0.615026139,rice
0.464285714,0.255172414,0.195121951,0.534832106,0.836102729,0.536816684,0.631074497,rice
0.507142857,0.372413793,0.07804878,0.517764072,0.637022485,0.578748038,0.293942622,maize
0.435714286,0.303448276,0.082926829,0.597593392,0.715877411,0.697704385,0.342531519,maize
0.571428571,0.296551724,0.07804878,0.53940599,0.716064888,0.670146328,0.223472442,maize
0.521428571,0.4,0.102439024,0.4572853,0.576931832,0.663915474,0.203147423,maize
0.435714286,0.262068966,0.097560976,0.423095714,0.627064011,0.600946527,0.219179837,maize
0.485714286,0.282758621,0.07804878,0.498606729,0.578188831,0.619906815,0.341928374,maize
0.664285714,0.282758621,0.082926829,0.586638339,0.665162075,0.608741951,0.353247036,maize
0.635714286,0.413793103,0.092682927,0.576797746,0.667023766,0.595230029,0.261476321,maize
0.542857143,0.303448276,0.082926829,0.467466569,0.625655851,0.58936978,0.218642694,maize
0.478571429,0.413793103,0.12195122,0.570608869,0.667983779,0.578782312,0.365809858,maize
0.5,0.303448276,0.092682927,0.533866735,0.73467466,0.589084398,0.315839686,maize
0.642857143,0.337931034,0.102439024,0.568743873,0.683708461,0.651481027,0.248039672,maize
0.442857143,0.35862069,0.07804878,0.510017562,0.58850823,0.701257569,0.213927467,maize
0.657142857,0.303448276,0.07804878,0.432222156,0.657800803,0.612271569,0.317396378,maize
0.471428571,0.372413793,0.102439024,0.576755678,0.602110789,0.595771647,0.241571984,maize
0.45,0.4,0.107317073,0.417947309,0.552922233,0.624528517,0.213436362,maize
0.5,0.324137931,0.082926829,0.563540599,0.704290061,0.664395225,0.348883239,maize
0.435714286,0.282758621,0.082926829,0.575656079,0.652736789,0.606124517,0.256847985,maize
0.471428571,0.365517241,0.092682927,0.528751493,0.601268331,0.607296923,0.219377296,maize
0.528571429,0.379310345,0.092682927,0.413282996,0.629050683,0.632995518,0.2821413,maize
0.55,0.393103448,0.102439024,0.570850106,0.738177285,0.659336067,0.267084541,maize
0.707142857,0.344827586,0.073170732,0.415498499,0.711073381,0.560969843,0.29500773,maize
0.528571429,0.386206897,0.107317073,0.418624321,0.666716089,0.687381653,0.271220879,maize
0.592857143,0.310344828,0.102439024,0.431213129,0.587614679,0.575356875,0.267126416,maize
0.714285714,0.331034483,0.07804878,0.588864788,0.672340897,0.558616164,0.249580932,maize
0.564285714,0.351724138,0.07804878,0.580141793,0.685107739,0.662927454,0.323096764,maize
0.671428571,0.268965517,0.087804878,0.547014944,0.574981765,0.593159452,0.344420417,maize
0.535714286,0.337931034,0.073170732,0.493085281,0.715220196,0.595692964,0.343265202,maize
0.557142857,0.331034483,0.107317073,0.528666057,0.631160329,0.562516296,0.235914766,maize
0.621428571,0.372413793,0.097560976,0.586532027,0.634826786,0.661938397,0.364517483,maize
0.621428571,0.24137931,0.12195122,0.491013821,0.631736022,0.621841944,0.220690949,maize
0.45,0.296551724,0.092682927,0.423994505,0.555413454,0.668529997,0.304756232,maize
0.6,0.393103448,0.12195122,0.515966853,0.680048972,0.653143526,0.215730971,maize
0.457142857,0.24137931,0.112195122,0.527077849,0.619059374,0.571747258,0.211141522,maize
0.428571429,0.317241379,0.107317073,0.569968336,0.656260791,0.666869015,0.294512926,maize
0.7,0.303448276,0.102439024,0.590073544,0.741025414,0.656710445,0.360038705,maize
0.535714286,0.386206897,0.087804878,0.444151109,0.623688076,0.573342053,0.204153116,maize
0.614285714,0.379310345,0.102439024,0.493218561,0.596510504,0.684838369,0.367602833,maize
0.7,0.24137931,0.087804878,0.544869919,0.748426985,0.629364899,0.307353098,maize
0.542857143,0.393103448,0.087804878,0.434574927,0.745395148,0.613253153,0.31572368,maize
0.707142857,0.386206897,0.082926829,0.551993625,0.731443764,0.627506115,0.238061356,maize
0.428571429,0.303448276,0.112195122,0.567703023,0.70058262,0.575996719,0.256995495,maize
0.528571429,0.331034483,0.082926829,0.495280707,0.602885881,0.647262966,0.231839522,maize
0.635714286,0.413793103,0.082926829,0.581000637,0.57220624,0.602304768,0.340636376,maize
0.492857143,0.351724138,0.112195122,0.508692226,0.728678317,0.684607573,0.357118435,maize
0.685714286,0.317241379,0.107317073,0.471274395,0.690137917,0.654240253,0.222045423,maize
0.435714286,0.413793103,0.073170732,0.569542053,0.687549417,0.630649919,0.305668998,maize
0.528571429,0.4,0.087804878,0.458776357,0.563662811,0.677125482,0.365166481,maize
0.528571429,0.296551724,0.112195122,0.594215031,0.619020386,0.636655986,0.333533557,maize
0.45,0.296551724,0.082926829,0.44164128,0.654823734,0.68519632,0.238878305,maize
0.707142857,0.248275862,0.097560976,0.471198351,0.653576818,0.671467007,0.262412977,maize
0.55,0.248275862,0.112195122,0.565859143,0.567445468,0.669216349,0.29626738,maize
0.621428571,0.413793103,0.112195122,0.464177293,0.639244018,0.648114043,0.209349873,maize
0.428571429,0.262068966,0.082926829,0.421731498,0.642474441,0.651677626,0.255938836,maize
0.671428571,0.372413793,0.082926829,0.535569993,0.617554617,0.591000908,0.35945799,maize
0.678571429,0.262068966,0.107317073,0.454474444,0.612561001,0.576805699,0.337516381,maize
0.6,0.303448276,0.102439024,0.500721892,0.619216697,0.588866255,0.359285092,maize
0.55,0.4,0.092682927,0.522160216,0.565179304,0.582948856,0.340284182,maize
0.471428571,0.303448276,0.097560976,0.436815869,0.690354949,0.678403518,0.270381606,maize
0.45,0.24137931,0.07804878,0.504338011,0.653673438,0.631339717,0.280455429,maize
0.564285714,0.310344828,0.097560976,0.545053115,0.59256117,0.575254803,0.301320241,maize
0.514285714,0.413793103,0.12195122,0.424153399,0.690401334,0.581117448,0.295090817,maize
0.478571429,0.351724138,0.117073171,0.538127422,0.613313739,0.562065457,0.216967754,maize
0.614285714,0.248275862,0.117073171,0.607889321,0.729050831,0.58250784,0.245633494,maize
0.542857143,0.331034483,0.087804878,0.441795481,0.696474323,0.581371407,0.278705379,maize
0.535714286,0.365517241,0.087804878,0.473698158,0.594483057,0.690964341,0.347171099,maize
0.578571429,0.310344828,0.112195122,0.442505874,0.680468231,0.623281659,0.28211972,maize
0.521428571,0.310344828,0.102439024,0.563366826,0.736020217,0.66801635,0.323525994,maize
0.507142857,0.24137931,0.117073171,0.50998252,0.595327189,0.586449275,0.227649468,maize
0.685714286,0.372413793,0.107317073,0.588475755,0.613456203,0.700583243,0.278694685,maize
0.707142857,0.268965517,0.087804878,0.439635447,0.68318169,0.615268752,0.294248707,maize
0.442857143,0.331034483,0.097560976,0.496887716,0.604856652,0.675227527,0.320584983,maize
0.614285714,0.255172414,0.07804878,0.469763883,0.592230861,0.559784579,0.226454028,maize
0.671428571,0.344827586,0.092682927,0.533561349,0.736388278,0.591161419,0.326871584,maize
0.542857143,0.268965517,0.117073171,0.555339965,0.556571841,0.704154977,0.215160882,maize
0.55,0.35862069,0.082926829,0.56928381,0.657539192,0.575213626,0.253961278,maize
0.528571429,0.268965517,0.112195122,0.518059706,0.657866494,0.6825037,0.295325833,maize
0.578571429,0.337931034,0.097560976,0.413088786,0.606259285,0.55497206,0.34911618,maize
0.45,0.289655172,0.102439024,0.532618549,0.72344364,0.583630679,0.22475291,maize
0.707142857,0.262068966,0.102439024,0.523939382,0.716102002,0.639397452,0.226848038,maize
0.642857143,0.35862069,0.12195122,0.594723118,0.693764282,0.68671606,0.345737495,maize
0.485714286,0.275862069,0.092682927,0.598592942,0.662176979,0.66989083,0.359177722,maize
0.428571429,0.393103448,0.117073171,0.427268524,0.61564428,0.616128633,0.251314481,maize
0.507142857,0.35862069,0.087804878,0.574873333,0.559874725,0.582860308,0.26179244,maize
0.435714286,0.406896552,0.082926829,0.534360259,0.592565433,0.651674244,0.351715833,maize
0.628571429,0.262068966,0.073170732,0.574290001,0.659339057,0.64972899,0.209310983,maize
0.464285714,0.413793103,0.107317073,0.580821958,0.725336887,0.665014954,0.361442842,maize
0.557142857,0.255172414,0.107317073,0.580237818,0.633294952,0.637191384,0.249600735,maize
0.557142857,0.4,0.073170732,0.572617126,0.678288586,0.657128482,0.210723385,maize
0.657142857,0.413793103,0.112195122,0.427412886,0.715294351,0.575904855,0.23423402,maize
0.564285714,0.406896552,0.082926829,0.466623194,0.637500515,0.668761412,0.363429144,maize
0.65,0.379310345,0.073170732,0.414259858,0.726234011,0.641831171,0.264474708,maize
0.542857143,0.351724138,0.087804878,0.599188677,0.719755081,0.628785426,0.26744784,maize
0.621428571,0.331034483,0.12195122,0.427103777,0.613899206,0.670022047,0.313573018,maize
0.507142857,0.413793103,0.107317073,0.59700993,0.59382236,0.624533957,0.287235046,maize
0.642857143,0.393103448,0.117073171,0.433389967,0.728140553,0.619909801,0.275795825,maize
0.478571429,0.24137931,0.107317073,0.533605176,0.632579426,0.642740385,0.36428277,maize
0.428571429,0.372413793,0.092682927,0.429262891,0.625101114,0.645975008,0.235242472,maize
0.592857143,0.4,0.112195122,0.452018585,0.596734439,0.642289226,0.219415166,maize
0.592857143,0.393103448,0.092682927,0.589127777,0.707602143,0.692280424,0.330713024,maize
0.285714286,0.496551724,0.375609756,0.389806378,0.169916906,0.753490438,0.296594325,chickpea
0.164285714,0.496551724,0.409756098,0.435498555,0.171346961,0.696546351,0.267708179,chickpea
0.278571429,0.4,0.414634146,0.409560711,0.154086892,0.603611184,0.229599766,chickpea
0.157142857,0.496551724,0.414634146,0.432005605,0.156609299,0.643292909,0.296457865,chickpea
0.257142857,0.462068966,0.375609756,0.420591175,0.19567356,0.719954268,0.265486167,chickpea
0.228571429,0.503448276,0.395121951,0.468243993,0.154059126,0.602812072,0.310435778,chickpea
0.414285714,0.482758621,0.409756098,0.472904146,0.166112184,0.627175838,0.250077327,chickpea
0.421428571,0.482758621,0.409756098,0.396901514,0.187526678,0.760014002,0.276719318,chickpea
0.3,0.427586207,0.365853659,0.41623168,0.189076954,0.705637275,0.274149075,chickpea
0.2,0.510344828,0.395121951,0.412421765,0.183129994,0.881098657,0.274603632,chickpea
0.414285714,0.455172414,0.385365854,0.480675445,0.19338208,0.877515148,0.31334663,chickpea
0.307142857,0.455172414,0.385365854,0.445612395,0.152281489,0.802872122,0.249817879,chickpea
0.414285714,0.434482759,0.395121951,0.453651357,0.147003168,0.655806731,0.264486605,chickpea
0.164285714,0.427586207,0.414634146,0.43443697,0.195196586,0.854559575,0.27033376,chickpea
0.192857143,0.427586207,0.375609756,0.416649486,0.147133714,0.66193813,0.235067753,chickpea
0.2,0.496551724,0.409756098,0.428836206,0.19185449,0.652413052,0.239751064,chickpea
0.357142857,0.386206897,0.370731707,0.480704888,0.198637297,0.80186533,0.246206175,chickpea
0.278571429,0.489655172,0.409756098,0.464369352,0.163983235,0.819401195,0.276404639,chickpea
0.178571429,0.537931034,0.370731707,0.400234237,0.15758796,0.727619249,0.224309296,chickpea
0.221428571,0.482758621,0.375609756,0.478258784,0.143257339,0.653496384,0.302995221,chickpea
0.185714286,0.551724138,0.404878049,0.391180161,0.161485837,0.757778661,0.238846626,chickpea
0.178571429,0.468965517,0.375609756,0.460061374,0.151155351,0.775176236,0.287208669,chickpea
0.221428571,0.537931034,0.370731707,0.402333699,0.150019933,0.857563937,0.299137449,chickpea
0.428571429,0.468965517,0.404878049,0.437789071,0.184380994,0.666415725,0.286473315,chickpea
0.421428571,0.427586207,0.404878049,0.425333729,0.192235656,0.815734457,0.24433742,chickpea
0.157142857,0.462068966,0.380487805,0.393036552,0.144271895,0.624462407,0.242251644,chickpea
0.257142857,0.448275862,0.390243902,0.418706251,0.16682239,0.609062498,0.250785205,chickpea
0.421428571,0.413793103,0.409756098,0.43571928,0.186706388,0.774120976,0.317222296,chickpea
0.385714286,0.531034483,0.414634146,0.392482406,0.170693357,0.788036178,0.280499862,chickpea
0.307142857,0.468965517,0.395121951,0.400180842,0.179357897,0.680577531,0.264337406,chickpea
0.2,0.524137931,0.4,0.470882381,0.142606238,0.669790072,0.280544424,chickpea
0.3,0.544827586,0.414634146,0.39435968,0.158235599,0.616958,0.256483735,chickpea
0.228571429,0.413793103,0.404878049,0.450857383,0.19445778,0.888695768,0.307344205,chickpea
0.157142857,0.537931034,0.370731707,0.40866208,0.190951891,0.867799095,0.25564269,chickpea
0.221428571,0.544827586,0.365853659,0.430910451,0.161103985,0.825846696,0.300546503,chickpea
0.2,0.4,0.395121951,0.400110218,0.165461465,0.62208061,0.312668513,chickpea
0.407142857,0.4,0.375609756,0.428764377,0.175872505,0.803112599,0.271977954,chickpea
0.35,0.379310345,0.380487805,0.427145776,0.161806586,0.791448581,0.273672513,chickpea
0.328571429,0.524137931,0.375609756,0.417526514,0.196889527,0.701336611,0.280508994,chickpea
0.385714286,0.420689655,0.375609756,0.430721699,0.152189399,0.62471317,0.259723059,chickpea
0.271428571,0.413793103,0.370731707,0.427025344,0.178117518,0.892668365,0.26101273,chickpea
0.421428571,0.379310345,0.385365854,0.466330292,0.168988052,0.882340046,0.275504187,chickpea
0.257142857,0.524137931,0.365853659,0.420858554,0.166410669,0.879341508,0.236202249,chickpea
0.407142857,0.468965517,0.395121951,0.393129554,0.173077133,0.813389154,0.243790923,chickpea
0.25,0.455172414,0.395121951,0.443521325,0.157774402,0.617834701,0.285531116,chickpea
0.25,0.44137931,0.380487805,0.410492459,0.142758667,0.754562314,0.285951765,chickpea
0.371428571,0.413793103,0.385365854,0.445407695,0.182382122,0.843493559,0.253321715,chickpea
0.192857143,0.524137931,0.404878049,0.437964036,0.149251192,0.6330706,0.300169307,chickpea
0.407142857,0.413793103,0.409756098,0.43739471,0.172649738,0.662981063,0.252850303,chickpea
0.371428571,0.468965517,0.380487805,0.400339887,0.169637796,0.694160927,0.288219291,chickpea
0.307142857,0.544827586,0.385365854,0.444357177,0.189837449,0.785775154,0.268792268,chickpea
0.314285714,0.510344828,0.414634146,0.462192737,0.196407589,0.71973989,0.262126103,chickpea
0.171428571,0.379310345,0.380487805,0.396169084,0.151568058,0.669263697,0.25314134,chickpea
0.207142857,0.531034483,0.365853659,0.400765083,0.154836372,0.782941155,0.244321552,chickpea
0.142857143,0.413793103,0.380487805,0.416076614,0.147035239,0.640028396,0.304046223,chickpea
0.4,0.462068966,0.380487805,0.402387155,0.167212956,0.830938615,0.260647401,chickpea
0.264285714,0.455172414,0.414634146,0.479256273,0.189163817,0.649832847,0.261485403,chickpea
0.35,0.489655172,0.370731707,0.451305373,0.176419909,0.665627738,0.286639957,chickpea
0.421428571,0.475862069,0.390243902,0.436844025,0.178707875,0.82187061,0.232469749,chickpea
0.142857143,0.544827586,0.375609756,0.424720736,0.160283312,0.76986458,0.255645857,chickpea
0.171428571,0.386206897,0.414634146,0.416687631,0.174164879,0.658865486,0.270098182,chickpea
0.364285714,0.496551724,0.365853659,0.432474263,0.149972289,0.715063888,0.268325668,chickpea
0.407142857,0.503448276,0.414634146,0.423420826,0.147238184,0.740617235,0.307964639,chickpea
0.157142857,0.44137931,0.4,0.446239833,0.171757154,0.651632129,0.293117292,chickpea
0.371428571,0.503448276,0.385365854,0.395134548,0.187528376,0.789156273,0.314854102,chickpea
0.207142857,0.517241379,0.365853659,0.449317529,0.187182233,0.711094681,0.296283962,chickpea
0.314285714,0.406896552,0.380487805,0.473383693,0.19857488,0.764868029,0.28397445,chickpea
0.292857143,0.475862069,0.4,0.458468008,0.16635959,0.675946223,0.231035779,chickpea
0.371428571,0.386206897,0.414634146,0.460641531,0.144449004,0.686166259,0.297031273,chickpea
0.242857143,0.524137931,0.390243902,0.472963622,0.158485974,0.803758858,0.218509142,chickpea
0.3,0.510344828,0.404878049,0.44093966,0.142830072,0.759455391,0.220325557,chickpea
0.242857143,0.489655172,0.385365854,0.410477501,0.158591027,0.777949412,0.249995655,chickpea
0.192857143,0.503448276,0.385365854,0.438755986,0.158378764,0.740302575,0.276988346,chickpea
0.214285714,0.482758621,0.385365854,0.464091478,0.199734079,0.736090111,0.233267914,chickpea
0.407142857,0.393103448,0.365853659,0.391318843,0.182547284,0.783590113,0.292317857,chickpea
0.192857143,0.544827586,0.4,0.390740732,0.175434195,0.634821052,0.237377686,chickpea
0.228571429,0.489655172,0.414634146,0.47229407,0.144427057,0.64458215,0.308367739,chickpea
0.221428571,0.524137931,0.4,0.476808505,0.178538059,0.764892842,0.265290279,chickpea
0.235714286,0.517241379,0.409756098,0.445606999,0.187317141,0.726416946,0.23048643,chickpea
0.335714286,0.551724138,0.375609756,0.3934125,0.164318958,0.761050705,0.244005054,chickpea
0.385714286,0.427586207,0.390243902,0.400433218,0.163935244,0.753847657,0.266135975,chickpea
0.335714286,0.544827586,0.380487805,0.400315,0.147628203,0.665287991,0.218092291,chickpea
0.25,0.393103448,0.404878049,0.446089281,0.174485081,0.752564918,0.269622864,chickpea
0.378571429,0.503448276,0.375609756,0.451365224,0.180999371,0.73733107,0.246666468,chickpea
0.321428571,0.420689655,0.380487805,0.446165413,0.160653118,0.653178645,0.273072078,chickpea
0.264285714,0.537931034,0.385365854,0.456838568,0.14829018,0.783723704,0.297029078,chickpea
0.214285714,0.517241379,0.395121951,0.444594837,0.16807768,0.645030618,0.229418194,chickpea
0.264285714,0.379310345,0.4,0.445465374,0.180256253,0.847890946,0.26275817,chickpea
0.378571429,0.448275862,0.370731707,0.462304546,0.164229585,0.877693107,0.259036467,chickpea
0.157142857,0.413793103,0.414634146,0.431346982,0.147433901,0.786303616,0.317463371,chickpea
0.428571429,0.420689655,0.380487805,0.474229203,0.198400281,0.635842511,0.314967066,chickpea
0.3,0.462068966,0.375609756,0.434894823,0.159391819,0.716088588,0.263588711,chickpea
0.278571429,0.524137931,0.370731707,0.45719864,0.155760663,0.818905506,0.231637083,chickpea
0.25,0.434482759,0.370731707,0.407909459,0.176107574,0.776455197,0.304196629,chickpea
0.214285714,0.448275862,0.4,0.474276164,0.152810096,0.715020936,0.257163924,chickpea
0.407142857,0.386206897,0.380487805,0.397053411,0.187596618,0.891937444,0.227607586,chickpea
0.257142857,0.386206897,0.404878049,0.432686666,0.19765411,0.750136149,0.231427859,chickpea
0.285714286,0.4,0.365853659,0.425682865,0.147822745,0.721492743,0.300139987,chickpea
0.35,0.475862069,0.4,0.419356828,0.153642195,0.731057073,0.273938496,chickpea
0.092857143,0.413793103,0.12195122,0.392369444,0.205991495,0.572311986,0.429584737,kidneybeans
0.178571429,0.482758621,0.07804878,0.449559772,0.18910483,0.579686387,0.356242573,kidneybeans
0.221428571,0.379310345,0.107317073,0.52463069,0.213433986,0.591154313,0.365841102,kidneybeans
0.285714286,0.44137931,0.07804878,0.376261455,0.242448519,0.596539779,0.470162562,kidneybeans
0.014285714,0.420689655,0.097560976,0.506914668,0.230266836,0.599452655,0.256703031,kidneybeans
0.185714286,0.448275862,0.107317073,0.408651754,0.187796224,0.598882193,0.479295181,kidneybeans
0.121428571,0.393103448,0.102439024,0.455265416,0.203193233,0.5827037,0.204045175,kidneybeans
